{'timestamp': '2025-12-01T03:09:11.727929', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1694/min', 'details': {'connections_per_minute': 1694, 'threshold': 50}}
{'timestamp': '2025-12-01T03:09:30.976650', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 1020/min', 'details': {'connections_per_minute': 1020, 'threshold': 50}}
{'timestamp': '2025-12-01T03:09:50.853303', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '20.199.39.224', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:10:14.296314', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1623/min', 'details': {'connections_per_minute': 1623, 'threshold': 50}}
{'timestamp': '2025-12-01T03:10:31.342894', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 1335/min', 'details': {'connections_per_minute': 1335, 'threshold': 50}}
{'timestamp': '2025-12-01T03:10:43.897609', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.113.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:11:02.646977', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '17.253.18.200', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:11:05.215831', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '8.8.4.4', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:11:06.469460', 'alert_type': 'PORT_SCAN', 'threat_level': 'high', 'source_ip': '8.8.8.8', 'destination_ip': '192.168.0.106', 'description': 'Possible port scan detected: 20 unique ports', 'details': {'ports_scanned': 20, 'sample_ports': [21377, 15106, 22405, 8970, 60555, 64651, 13584, 49682, 17303, 55715]}}
{'timestamp': '2025-12-01T03:11:14.611433', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1195/min', 'details': {'connections_per_minute': 1195, 'threshold': 50}}
{'timestamp': '2025-12-01T03:41:29.065309', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.114.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:41:31.461201', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:41:35.481930', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:42:31.528641', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1409/min', 'details': {'connections_per_minute': 1409, 'threshold': 50}}
{'timestamp': '2025-12-01T03:42:33.895814', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '13.107.213.58', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:42:38.632466', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '17.248.216.67', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:42:39.651820', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '8.8.4.4', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:42:40.444256', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '203.171.247.201', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:42:51.073597', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.114.22', 'destination_ip': None, 'description': 'High connection rate: 173/min', 'details': {'connections_per_minute': 173, 'threshold': 50}}
{'timestamp': '2025-12-01T03:42:51.785323', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '208.95.112.1', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
